file,governance,env,sim_id,mode,condition,result,time_s,path_m,efficiency,collisions,c0min,spills_human,spills_sim,spill_expected,spill_risk_pct,perc_queries,meta_switches,fsm_interventions,meta2_mode,meta2_capped_ticks,meta2_on,meta2_switches,meta2_helps,meta2_fallbacks,meta2_fallback_pct,meta2_help_pct,meta2_cautious_pct,meta2_mean_tension,meta2_mean_fulfillment,mean_clearance,mean_progression,mean_reliability,laser_noise_mean,laser_noise_max,filt_rej_mean,scan_hz,stale_pct,gated_pct,safer_inserts,map_adds,map_dels,obs_max,reloc_jumps,tick_ms_p95,notes
20260704_122021_ours_B.json,?,sim,lab_v1_lidclosed_meta2,ours,,reached,113.86,7.57,0.82,0,0.54,,0,0.0,1.2,0,0,0,2,542,1,1,0,5,11.6,0.0,96.1,0.292,0.722,0.739,0.174,0.923,0.077,0.59,0.024,3.25,57.5,18.4,73,500,280,239,0,114.9,
20260704_122228_ours_B.json,?,sim,lab_v1_lidclosed_base,ours,,reached,89.75,7.62,0.82,0,0.52,,0,0.347,12.5,0,0,0,0,0,,0,0,0,,,,,,0.705,0.222,0.908,0.092,0.579,0.026,3.34,57.8,22.3,70,494,254,260,0,114.8,
20260704_122411_ours_B.json,?,sim,lab_v1_lidclosed_meta2,ours,,reached,116.01,7.55,0.82,0,0.51,,0,0.0,1.3,0,0,0,2,577,1,1,0,5,12.8,0.0,96.2,0.299,0.711,0.737,0.172,0.916,0.083,0.598,0.021,3.23,57.6,18.5,77,523,298,245,0,114.8,
20260704_122620_ours_B.json,?,sim,lab_v1_lidclosed_base,ours,,reached,92.27,7.71,0.81,0,0.52,,0,0.649,13.3,0,0,0,0,0,,0,0,0,,,,,,0.706,0.215,0.904,0.096,0.519,0.026,3.31,58.0,22.7,74,479,236,260,0,114.5,
20260704_122805_ours_B.json,?,sim,lab_v1_lidclosed_meta2,ours,,reached,115.85,7.5,0.83,0,0.51,,0,0.0,0.4,0,0,0,2,571,1,1,0,3,14.1,0.0,96.7,0.287,0.713,0.752,0.172,0.919,0.08,0.593,0.02,3.25,57.6,18.6,77,506,275,244,0,114.8,
20260704_123014_ours_B.json,?,sim,lab_v1_lidclosed_base,ours,,reached,90.78,7.6,0.82,0,0.51,,0,0.148,10.1,0,0,0,0,0,,0,0,0,,,,,,0.715,0.219,0.902,0.096,0.594,0.028,3.3,58.0,22.3,73,523,274,274,0,115.0,
20260704_123157_ours_B.json,?,sim,lab_v1_lidclosed_meta2,ours,,aborted_meta2_help,237.42,8.3,,3,0.21,,0,0.0,1.1,,0,0,2,605,1,1,0,5,57.5,0.0,98.4,0.663,0.341,0.553,0.084,0.915,0.083,0.618,0.033,3.2,61.1,46.1,113,620,498,239,0,114.5,
20260704_123933_ours_B.json,?,sim,lab_v1_payload_wrongdstsim,ours,,reached,100.97,7.77,0.8,0,0.51,,0,0.0,0.4,0,0,0,2,498,1,1,0,5,14.0,0.0,96.3,0.233,0.773,0.738,0.198,0.908,0.092,0.583,0.026,3.24,58.9,19.8,81,484,253,242,0,110.5,
20260704_124127_ours_B.json,?,sim,lab_v1_payload_wrongdstsim,ours,,reached,113.83,7.57,0.82,0,0.49,,0,0.0,0.6,0,0,0,2,557,1,1,0,6,14.3,0.0,96.6,0.256,0.742,0.749,0.175,0.92,0.08,0.597,0.02,3.32,57.5,19.0,75,500,274,237,0,114.9,
20260704_124335_ours_B.json,?,sim,lab_v1_payload_wrongdstsim,ours,,reached,114.89,7.67,0.81,0,0.53,,0,0.0,0.6,0,0,0,2,566,1,1,0,5,12.3,0.0,96.6,0.241,0.75,0.739,0.173,0.92,0.078,0.59,0.02,3.25,57.6,18.9,72,472,252,229,0,114.9,
20260704_124542_ours_B.json,?,sim,lab_v1_payload_wrongdstsim,ours,,reached,111.43,7.55,0.82,0,0.51,,0,0.0,0.0,0,0,0,2,557,1,1,0,5,12.9,0.0,96.1,0.248,0.745,0.752,0.179,0.915,0.084,0.574,0.023,3.2,58.2,19.3,75,485,258,240,0,115.1,
20260704_124746_ours_B.json,?,sim,lab_v1_payload_wrongdstsim,ours,,reached,101.08,7.76,0.8,0,0.51,,0,0.0,0.5,0,0,0,2,499,1,1,0,6,14.5,0.0,96.3,0.233,0.762,0.735,0.198,0.906,0.094,0.588,0.03,3.24,58.7,20.4,78,505,253,252,0,110.9,
20260704_124941_ours_B.json,?,sim,lab_v1_payload_wrongdstsim,ours,,reached,100.56,7.72,0.81,0,0.5,,0,0.0,0.8,0,0,0,2,494,1,1,0,4,13.5,0.0,96.3,0.224,0.777,0.734,0.198,0.906,0.095,0.578,0.025,3.29,58.6,19.9,78,502,257,252,0,110.9,
20260704_125134_ours_B.json,?,sim,lab_v1_payload_wrongdstsim,ours,,reached,111.42,7.48,0.83,0,0.52,,0,0.0,1.0,0,0,0,2,533,1,1,0,5,13.2,0.0,96.6,0.216,0.754,0.73,0.179,0.918,0.081,0.594,0.023,3.21,58.0,18.8,76,512,279,241,0,114.5,
20260704_125339_ours_B.json,?,sim,lab_v1_payload_wrongdstsim,ours,,reached,113.07,7.6,0.82,0,0.53,,0,0.0,0.5,0,0,0,2,529,1,1,0,4,12.5,0.0,95.1,0.244,0.753,0.746,0.176,0.918,0.08,0.594,0.025,3.25,57.7,18.5,81,513,287,252,0,114.7,
20260704_125555_ours_B.json,?,sim,lab_v1_payload_wrongsim,ours,,reached,112.42,7.68,0.81,0,0.52,,0,0.0,0.1,0,0,0,2,548,1,1,0,5,13.3,0.0,96.1,0.255,0.74,0.742,0.177,0.918,0.081,0.591,0.026,3.24,58.1,19.2,75,493,261,243,0,114.5,
20260704_125800_ours_B.json,?,sim,lab_v1_lidclosed_meta2sim,ours,,reached,100.97,7.7,0.81,0,0.51,,0,0.0,0.4,0,0,0,2,492,1,1,0,4,12.9,0.0,96.3,0.214,0.795,0.739,0.198,0.912,0.088,0.576,0.023,3.34,58.5,20.0,72,465,230,248,0,110.8,
20260704_125954_ours_B.json,?,sim,lab_v1_payload_wrongsim,ours,,reached,100.95,7.61,0.82,0,0.51,,0,0.007,2.7,0,0,0,2,493,1,1,0,5,15.1,0.0,96.3,0.235,0.771,0.736,0.198,0.912,0.087,0.569,0.027,3.34,58.6,20.7,80,510,273,253,0,111.1,
20260704_130149_ours_B.json,?,sim,lab_v1_lidclosed_meta2sim,ours,,reached,101.23,7.68,0.81,0,0.49,,0,0.0,0.3,0,0,0,2,504,1,1,0,6,13.8,0.0,96.3,0.228,0.779,0.735,0.197,0.906,0.095,0.575,0.028,3.21,59.0,20.1,78,501,263,252,0,110.8,
20260704_130344_ours_B.json,?,sim,lab_v1_payload_wrongsim,ours,,reached,100.99,7.56,0.82,0,0.52,,0,0.0,0.4,0,0,0,2,494,1,1,0,5,13.9,0.0,96.3,0.231,0.768,0.734,0.198,0.908,0.092,0.569,0.025,3.33,58.6,20.1,72,478,236,251,0,110.7,
20260704_130539_ours_B.json,?,sim,lab_v1_lidclosed_meta2sim,ours,,reached,102.16,7.55,0.82,0,0.51,,0,0.0,0.8,0,0,0,2,512,1,1,0,4,12.6,0.0,97.4,0.208,0.795,0.737,0.195,0.913,0.087,0.576,0.026,3.33,58.4,20.0,80,512,277,247,0,111.5,
20260704_130734_ours_B.json,?,sim,lab_v1_payload_wrongsim,ours,,reached,115.55,7.66,0.81,0,0.52,,0,0.0,0.6,0,0,0,2,566,1,1,0,5,12.4,0.0,96.7,0.257,0.743,0.733,0.172,0.921,0.079,0.592,0.019,3.2,57.8,18.5,72,502,279,249,0,114.9,
20260704_130943_ours_B.json,?,sim,lab_v1_lidclosed_meta2sim,ours,,aborted_meta2_help,235.92,7.81,,2,0.21,,1,0.271,1.9,,0,0,2,508,1,1,0,5,59.6,0.0,97.5,0.645,0.355,0.577,0.083,0.825,0.157,0.653,0.039,3.34,61.2,48.1,100,581,466,241,0,114.3,
20260704_131352_ours_B.json,?,sim,lab_v1_payload_wrongsim,ours,,reached,101.2,7.56,0.82,0,0.49,,0,0.0,0.6,0,0,0,2,495,1,1,0,5,14.1,0.0,96.3,0.235,0.773,0.73,0.197,0.912,0.088,0.583,0.024,3.27,58.7,20.0,79,487,257,235,0,110.8,
20260704_131547_ours_B.json,?,sim,lab_v1_lidclosed_meta2sim,ours,,reached,101.1,7.78,0.8,0,0.51,,0,0.0,0.4,0,0,0,2,494,1,1,0,5,13.5,0.0,96.3,0.24,0.774,0.737,0.198,0.908,0.091,0.58,0.026,3.28,58.6,20.3,72,482,242,253,0,110.8,
20260704_131742_ours_B.json,?,sim,lab_v1_payload_wrongsim,ours,,reached,100.91,7.64,0.82,0,0.5,,0,0.0,0.9,0,0,0,2,493,1,1,0,4,13.4,0.0,96.3,0.212,0.789,0.739,0.198,0.911,0.088,0.572,0.03,3.33,58.6,20.4,84,517,261,257,0,110.7,
20260704_131937_ours_B.json,?,sim,lab_v1_lidclosed_meta2sim,ours,,reached,106.93,7.57,0.82,0,0.51,,0,0.0,0.1,0,0,0,2,501,1,1,0,5,13.4,0.0,96.4,0.236,0.768,0.723,0.186,0.918,0.082,0.584,0.024,3.25,58.1,18.8,77,489,265,236,0,114.1,
20260704_132138_ours_B.json,?,sim,lab_v1_payload_wrongsim,ours,,reached,114.24,7.55,0.83,0,0.53,,0,0.0,0.3,0,0,0,2,560,1,1,0,5,12.8,0.0,96.6,0.235,0.765,0.739,0.174,0.92,0.08,0.575,0.023,3.21,57.7,18.8,78,502,284,251,0,115.0,
20260704_132345_ours_B.json,?,sim,lab_v1_payload_wrongsim,ours,,aborted_meta2_help,236.79,7.82,,2,0.22,,1,1.793,1.1,,0,0,2,519,1,1,0,6,58.8,0.0,97.7,0.651,0.352,0.537,0.084,0.862,0.13,0.672,0.04,3.52,60.7,47.6,97,601,478,250,0,114.6,
