array('d', [5.788281250000001, 20.1189453125, 4.201171875, -1.2603515625000001])
array('d', [9.0091796875, 20.1189453125, 4.201171875, -1.2603515625000001])
array('d', [12.276757812500001, 23.153125000000003, 3.4542968750000003, -1.2603515625000001])
array('d', [16.8046875, 28.754687500000003, 2.80078125, -1.773828125])
array('d', [22.266210937500002, 32.30234375, 3.734375, -2.240625])
array('d', [22.266210937500002, 32.30234375, 2.6140625, -3.5943359375000004])
array('d', [25.487109375000003, 34.5896484375, 2.6140625, -3.5943359375000004])
array('d', [25.487109375000003, 34.5896484375, 2.6140625, -3.5943359375000004])
array('d', [25.487109375000003, 34.5896484375, 2.6140625, -3.5943359375000004])
array('d', [25.487109375000003, 34.5896484375, 2.6140625, -3.5943359375000004])
array('d', [28.801367187500002, 40.051171875, -1.2603515625000001, -3.4076171875])
array('d', [33.702734375, 44.065625000000004, -3.17421875, -3.8744140625])
array('d', [33.702734375, 44.065625000000004, -5.0880859375, -4.4345703125])
array('d', [33.702734375, 44.065625000000004, -5.0880859375, -4.4345703125])
array('d', [41.078125, 50.974218750000006, -6.721875000000001, -7.7955078125])
array('d', [44.065625000000004, 54.941992187500006, -9.616015625000001, -7.3287109375])
array('d', [44.065625000000004, 59.656640625, -12.3701171875, -8.2623046875])
array('d', [44.065625000000004, 59.656640625, -12.3701171875, -8.2623046875])
array('d', [45.466015625000004, 59.656640625, -12.3701171875, -11.9033203125])
array('d', [50.274023437500006, 62.1306640625, -15.404296875, -11.9033203125])
array('d', [52.5146484375, 66.5185546875, -16.524609375, -16.1044921875])
array('d', [52.5146484375, 66.5185546875, -16.524609375, -16.1044921875])
array('d', [52.5146484375, 66.5185546875, -16.524609375, -16.1044921875])
array('d', [53.4482421875, 67.40546875, -19.465429687500002, -17.831640625000002])
array('d', [54.241796875000006, 69.179296875, -22.966406250000002, -20.585742187500003])
array('d', [54.241796875000006, 69.179296875, -22.966406250000002, -24.833593750000002])
array('d', [54.521875, 70.299609375, -22.966406250000002, -24.833593750000002])
array('d', [53.58828125, 71.2798828125, -29.1748046875, -26.467382812500002])
array('d', [53.58828125, 70.3462890625, -32.862500000000004, -28.334570312500002])
array('d', [56.435742187500004, 70.3462890625, -32.862500000000004, -28.334570312500002])
array('d', [56.435742187500004, 70.3462890625, -32.862500000000004, -28.334570312500002])
array('d', [56.435742187500004, 70.3462890625, -32.862500000000004, -28.334570312500002])
array('d', [54.101757812500004, 71.419921875, -36.41015625, -32.162304687500004])
array('d', [52.8880859375, 72.3068359375, -38.9775390625, -36.690234375])
array('d', [55.408789062500006, 75.99453125000001, -42.1517578125, -37.9505859375])
array('d', [55.408789062500006, 75.99453125000001, -42.1517578125, -37.9505859375])
array('d', [55.408789062500006, 75.99453125000001, -42.1517578125, -37.9505859375])
array('d', [60.170117187500004, 75.2009765625, -45.466015625000004, -39.9111328125])
array('d', [60.170117187500004, 77.8150390625, -49.200390625000004, -41.544921875])
array('d', [57.5560546875, 77.8150390625, -52.7947265625, -44.1123046875])
array('d', [55.735546875000004, 79.35546875, -52.7947265625, -44.1123046875])
array('d', [59.143164062500006, 79.4021484375, -55.6888671875, -47.239843750000006])
array('d', [60.3568359375, 83.3232421875, -57.509375000000006, -46.586328125])
array('d', [60.3568359375, 83.3232421875, -59.283203125, -48.826953125])
array('d', [59.18984375, 82.8564453125, -59.283203125, -48.826953125])
array('d', [59.8900390625, 87.01093750000001, -60.8236328125, -47.566601562500004])
