array('d', [-46.166210937500004, 24.4134765625, 53.775000000000006, -0.7468750000000001])
array('d', [-42.9453125, 26.7474609375, 50.974218750000006, -1.2603515625000001])
array('d', [-39.631054687500004, 31.275390625, 50.6474609375, -1.9138671875000002])
array('d', [-39.631054687500004, 31.275390625, 49.340429687500006, -3.2208984375000003])
array('d', [-35.4765625, 34.963085937500004, 49.340429687500006, -3.2208984375000003])
array('d', [-29.8283203125, 39.2576171875, 47.940039062500006, -3.2208984375000003])
array('d', [-29.8283203125, 39.2576171875, 47.940039062500006, -3.2208984375000003])
array('d', [-29.8283203125, 39.2576171875, 47.940039062500006, -3.2208984375000003])
array('d', [-27.354296875000003, 44.065625000000004, 46.8197265625, -3.8744140625])
array('d', [-21.4259765625, 48.1267578125, 43.87890625, -4.761328125])
array('d', [-18.8119140625, 52.561328125, 40.564648437500004, -7.28203125])
array('d', [-18.8119140625, 52.561328125, 40.564648437500004, -7.28203125])
array('d', [-18.8119140625, 52.561328125, 40.564648437500004, -7.28203125])
array('d', [-18.8119140625, 52.561328125, 40.564648437500004, -7.28203125])
array('d', [-18.8119140625, 52.561328125, 40.564648437500004, -7.28203125])
array('d', [-18.8119140625, 52.561328125, 40.564648437500004, -7.28203125])
array('d', [-15.49765625, 55.2220703125, 39.3509765625, -9.429296875])
array('d', [-10.176171875, 60.310156250000006, 36.6435546875, -11.5298828125])
array('d', [-7.422070312500001, 63.764453125, 35.28984375, -14.657421875])
array('d', [-7.422070312500001, 63.764453125, 35.28984375, -14.657421875])
array('d', [-7.422070312500001, 63.764453125, 35.28984375, -14.657421875])
array('d', [-4.387890625, 66.005078125, 31.648828125, -15.591015625])
array('d', [-1.1203125, 67.2654296875, 27.07421875, -18.391796875])
array('d', [-1.1203125, 67.2654296875, 27.07421875, -25.58046875])
array('d', [-1.1203125, 67.2654296875, 27.07421875, -25.58046875])
array('d', [-1.1203125, 67.2654296875, 27.07421875, -25.58046875])
array('d', [-1.1203125, 67.2654296875, 27.07421875, -25.58046875])
array('d', [-0.8869140625, 70.2529296875, 24.0400390625, -24.180078125])
array('d', [2.4740234375, 71.88671875, 20.7724609375, -24.180078125])
array('d', [3.1275390625000004, 73.42714843750001, 16.1044921875, -28.8947265625])
array('d', [5.1814453125, 74.36074218750001, 13.3037109375, -31.788867187500003])
array('d', [5.1814453125, 74.36074218750001, 9.849414062500001, -35.943359375])
array('d', [8.5890625, 74.220703125, 9.849414062500001, -35.943359375])
