t,dist,holg_izq,holg_der,e_lat,e_rumbo_deg,v,w,n_front,modo,holg_verdad
0.04,0.0,0.45182329172606617,0.5440529216577248,-0.14486255667711292,-1.2140619279119207,0.024,-0.25,0,vano,nan
0.11,0.0,0.45164454634693263,0.5444788978622961,-0.14525270697629783,-1.1767670980508194,0.024,-0.25,0,vano,nan
0.21,0.0,0.455311128068686,0.5395400027943021,-0.14547087646644202,-1.1233090365774085,0.024,-0.25,0,vano,nan
0.31,0.0,0.45687204343671417,0.5427419823620566,-0.1453801139402994,-0.9883780995057785,0.024,-0.25,0,vano,nan
0.41,0.001,0.45334622746031505,0.5442228104200345,-0.14506865342810116,-0.8691807125652992,0.024,-0.25,0,vano,nan
0.51,0.002,0.4618870788966716,0.5423157178881183,-0.14503202995305303,-0.6530234391176379,0.024,-0.25,0,vano,nan
0.81,0.008,0.4649741344419075,0.5508280301367812,-0.14507061222663103,0.395915281746058,0.024,-0.25,0,vano,nan
0.91,0.011,0.46763788470415774,0.5528079970341371,-0.14494715105085057,1.112635601051905,0.024,-0.25,0,vano,nan
1.01,0.012,0.4610471216478219,0.5577966807624074,-0.14363083596829201,1.5293394311364905,0.024,-0.25,0,vano,nan
1.1,0.015,0.46592169640427883,0.5620484310592286,-0.14318360903256416,2.1036012081017197,0.024,-0.25,0,vano,nan
1.21,0.018,0.474265830925666,0.5658076894898005,-0.1422646407654048,2.747096481075231,0.024,-0.25,0,vano,nan
1.31,0.02,0.4777963028816954,0.5698997977238089,-0.14104669657213273,3.32729901403574,0.024,-0.25,0,vano,nan
1.61,0.029,0.4856694356228145,0.5872296130202085,-0.12629646100264655,4.9844475670291075,0.024,-0.25,0,vano,nan
1.71,0.031,0.48203085313061245,0.5879652664402393,-0.11262749360094737,5.364972182134477,0.024,-0.25,0,vano,nan
1.81,0.033,0.4879254193730982,0.5920602668205468,-0.09827394564518738,5.411610121773337,0.024,-0.25,0,vano,nan
1.91,0.034,0.48199933919491456,0.5920602668205468,-0.08834808415693624,5.6678416028383305,0.024,-0.25,0,vano,nan
2.01,0.035,0.47371642964678584,0.6009332716472677,-0.07976167308527077,5.855445844377088,0.024,-0.25,0,vano,nan
2.11,0.035,0.472472620871882,0.6058743237890876,-0.07291878742107888,6.266966683170632,0.024,-0.25,0,vano,nan
2.21,0.034,0.46494749522532364,0.6081792095595359,-0.06692318296548469,6.874841962253906,0.024,-0.25,0,vano,nan
2.31,0.035,0.46838800902365574,0.6111171748841285,-0.06343283168802694,7.3611147689107765,0.024,-0.25,0,vano,nan
2.41,0.034,0.4732399012168227,0.6090763997541745,-0.060087793433902525,7.843135013402807,0.024,-0.25,0,vano,nan
2.51,0.032,0.4557054408337107,0.613429967220533,-0.057388987000058234,8.384347425853042,0.024,-0.25,0,vano,nan
2.61,0.03,0.4637756235903977,0.6101250865058342,-0.05564955221134893,8.891307407139456,0.024,-0.25,0,vano,nan
2.71,0.029,0.4573086096861678,0.6108963222799721,-0.053508219918724176,9.36595296671489,0.024,-0.23637390398435904,0,vano,nan
