run,started,mode,goal,result,time_s,path_m,efficiency,collisions,stuck_episodes,stuck_time_s,astar_fails,aggressive_on,reloc_jumps,pct_dwa,pct_door,pct_brk,pct_seek,pct_recovery,pct_stop,spd_mean,c0_mean,c0_min,c0_hard_mean,c0_hard_min,near_wall_ticks,obs_mean,obs_max,obs_per_m2,n_hard_mean,colmap_cells,perc_n_mean,color_pts_mean,carpet_pct_mean,color_near_mean,dets_by_label,laser_noise_mean,filt_rej_mean,scan_hz,stale_pct,gated_pct,safer_inserts,map_adds,map_dels,tick_ms_p95,clearance_mean,clearance_min,clearance_max,progression_mean,progression_min,progression_max,reliability_mean,reliability_min,reliability_max,loc_conf_mean,loc_conf_min,loc_conf_max,laser_noise_min,laser_noise_max,spd_max,c0_max,c0_hard_max,perc_n_min,perc_n_max,color_pts_max,carpet_pct_min,carpet_pct_max,bat_start,bat_end,bat_used,bat_min
20260704_105240_ours_B,2026-07-04 10:52:40,ours,B,aborted_meta2_help,236.65,7.91,,2,2,126.4,0,1,0,59.0,0.0,24.8,0.0,1.5,0.0,0.065,0.941,0.22,0.954,0.22,360,178.433,251,6.47,167.206,7,0.0,,,,,0.164,0.04,3.52,60.9,47.3,106,618,492,114.5,0.572,0.146,1.0,0.084,0.0,0.265,0.822,0.328,1.0,0.997,0.888,1.0,0.0,0.672,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_105650_ours_B,2026-07-04 10:56:50,ours,B,reached,100.72,7.55,0.82,0,1,10.0,0,1,0,60.7,0.0,8.6,0.0,0.0,0.0,0.066,1.259,0.5,1.268,0.47,0,219.226,252,8.02,210.793,0,0.0,,,,,0.089,0.027,3.26,58.9,20.3,79,503,268,110.3,0.733,0.335,1.0,0.198,0.0,0.292,0.91,0.427,1.0,0.999,0.898,1.0,0.0,0.573,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_105843_ours_B,2026-07-04 10:58:43,ours,B,reached,101.95,7.64,0.82,0,1,4.4,0,1,0,61.0,0.0,8.5,0.0,0.0,0.0,0.065,1.276,0.5,1.276,0.48,0,202.442,242,7.46,200.417,0,0.0,,,,,0.093,0.024,3.25,58.9,20.1,78,454,225,110.0,0.736,0.332,1.0,0.196,0.0,0.288,0.906,0.486,1.0,0.999,0.919,1.0,0.0,0.514,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_110038_ours_B,2026-07-04 11:00:38,ours,B,reached,75.26,7.66,0.81,0,1,3.4,0,1,0,51.6,0.0,7.6,0.0,0.0,0.0,0.073,1.216,0.5,1.216,0.47,0,220.449,261,8.09,214.382,0,0.0,,,,,0.111,0.031,3.52,58.6,20.5,70,460,210,109.7,0.712,0.331,1.0,0.262,0.0,0.462,0.89,0.414,1.0,0.999,0.928,1.0,0.0,0.586,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_110206_ours_B,2026-07-04 11:02:06,ours,B,aborted_meta2_help,237.48,7.62,,2,1,134.2,0,1,0,58.3,0.0,24.8,0.0,1.6,0.0,0.075,0.949,0.24,0.961,0.24,86,175.634,245,6.47,163.83,7,0.0,,,,,0.129,0.039,3.41,60.7,45.5,101,602,473,113.9,0.583,0.161,1.0,0.084,0.0,0.267,0.852,0.204,1.0,0.995,0.892,1.0,0.0,0.796,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_110618_ours_B,2026-07-04 11:06:18,ours,B,reached,106.8,7.67,0.81,0,0,0.0,0,1,0,61.2,0.0,8.2,0.0,0.0,0.0,0.066,1.266,0.52,1.266,0.51,0,218.107,246,7.99,206.782,0,0.0,,,,,0.086,0.024,3.25,58.3,19.4,74,503,274,114.5,0.737,0.347,1.0,0.187,0.0,0.294,0.913,0.408,1.0,0.999,0.92,1.0,0.0,0.592,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_110817_ours_B,2026-07-04 11:08:17,ours,B,reached,101.88,7.74,0.81,0,1,3.9,0,1,0,61.0,0.0,8.5,0.0,0.0,0.0,0.069,1.268,0.5,1.276,0.48,0,209.822,238,7.69,207.808,0,0.0,,,,,0.087,0.025,3.28,58.7,19.9,71,471,242,110.8,0.733,0.331,1.0,0.196,0.0,0.29,0.913,0.427,1.0,0.999,0.875,1.0,0.0,0.573,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_111012_ours_B,2026-07-04 11:10:12,ours,B,reached,100.78,7.66,0.81,0,1,4.2,0,1,0,60.7,0.0,8.6,0.0,0.0,0.0,0.065,1.263,0.5,1.264,0.48,0,222.301,257,8.09,212.591,0,0.0,,,,,0.088,0.025,3.21,58.8,20.0,68,499,273,111.0,0.737,0.335,1.0,0.198,0.0,0.292,0.911,0.424,1.0,1.0,0.943,1.0,0.0,0.576,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_111204_ours_B,2026-07-04 11:12:04,ours,B,reached,101.99,7.58,0.82,0,1,4.5,0,1,0,61.1,0.0,8.4,0.0,0.0,0.0,0.064,1.274,0.5,1.281,0.47,0,203.559,244,7.48,200.518,0,0.0,,,,,0.086,0.022,3.25,58.7,19.8,71,459,224,112.2,0.736,0.332,1.0,0.196,0.0,0.296,0.914,0.415,1.0,1.0,0.92,1.0,0.0,0.585,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_111359_ours_B,2026-07-04 11:13:59,ours,B,reached,113.74,7.55,0.83,0,1,10.5,0,1,0,61.4,0.0,7.8,0.0,0.0,0.0,0.068,1.277,0.52,1.276,0.51,0,221.041,253,8.11,210.495,0,0.0,,,,,0.078,0.023,3.2,57.9,18.6,79,533,304,114.9,0.742,0.349,1.0,0.175,0.0,0.28,0.921,0.406,1.0,0.999,0.928,1.0,0.0,0.594,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_111606_ours_B,2026-07-04 11:16:06,ours,B,aborted_meta2_help,238.31,8.14,,3,2,126.6,0,1,0,59.3,0.0,23.9,0.0,2.3,0.0,0.068,0.996,0.2,1.013,0.2,194,175.961,243,6.43,167.632,10,0.0,,,,,0.144,0.037,3.21,60.9,46.9,113,611,495,114.5,0.607,0.135,1.0,0.086,0.0,0.277,0.836,0.347,1.0,0.996,0.894,1.0,0.0,0.653,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_112018_ours_B,2026-07-04 11:20:18,ours,B,reached,111.86,7.52,0.83,0,1,4.3,0,1,0,60.8,0.0,7.9,0.0,0.0,0.0,0.067,1.281,0.52,1.281,0.5,0,207.712,237,7.67,202.105,0,0.0,,,,,0.078,0.02,3.21,57.7,18.3,80,494,275,115.4,0.74,0.347,1.0,0.178,0.0,0.269,0.921,0.416,1.0,0.999,0.908,1.0,0.0,0.584,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_112223_ours_B,2026-07-04 11:22:23,ours,B,reached,112.41,7.66,0.81,0,1,4.6,0,1,0,61.6,0.0,7.8,0.0,0.0,0.0,0.07,1.288,0.5,1.287,0.48,0,212.621,243,7.75,200.576,0,0.0,,,,,0.083,0.024,3.24,57.6,18.8,75,500,271,115.2,0.748,0.334,1.0,0.177,0.0,0.279,0.917,0.406,1.0,0.999,0.912,1.0,0.0,0.594,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_112428_ours_B,2026-07-04 11:24:28,ours,B,reached,112.41,7.65,0.81,0,1,4.5,0,1,0,61.1,0.0,7.9,0.0,0.0,0.0,0.07,1.288,0.5,1.289,0.49,0,209.034,238,7.62,203.878,0,0.0,,,,,0.085,0.023,3.3,57.4,18.9,74,498,271,115.6,0.748,0.334,1.0,0.177,0.0,0.268,0.915,0.409,1.0,0.999,0.929,1.0,0.0,0.591,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_112633_ours_B,2026-07-04 11:26:33,ours,B,reached,112.6,7.49,0.83,0,1,9.6,0,1,0,61.0,0.0,7.6,0.0,0.0,0.0,0.069,1.287,0.51,1.287,0.5,0,216.498,253,7.94,212.577,0,0.0,,,,,0.082,0.024,3.24,57.7,18.4,77,502,265,115.7,0.741,0.342,1.0,0.177,0.0,0.269,0.918,0.408,1.0,0.999,0.916,1.0,0.0,0.592,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_112837_ours_B,2026-07-04 11:28:37,ours,B,reached,109.81,7.53,0.83,0,1,4.4,0,1,0,60.4,0.0,8.0,0.0,0.0,0.0,0.066,1.271,0.51,1.271,0.49,0,215.312,247,7.94,206.986,0,0.0,,,,,0.079,0.023,3.25,57.6,19.4,76,510,277,115.6,0.74,0.341,1.0,0.181,0.0,0.289,0.92,0.409,1.0,0.999,0.94,1.0,0.0,0.591,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_113423_ours_B,2026-07-04 11:34:23,ours,B,reached,110.11,7.52,0.83,0,1,4.3,0,1,0,60.2,0.0,7.8,0.0,0.0,0.0,0.07,1.256,0.51,1.262,0.48,0,207.863,236,7.72,201.614,0,0.0,,,,,0.082,0.021,3.34,57.4,19.2,80,503,280,115.5,0.733,0.34,1.0,0.181,0.0,0.28,0.917,0.411,1.0,0.999,0.895,1.0,0.0,0.589,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_113626_ours_B,2026-07-04 11:36:26,ours,B,reached,108.98,7.58,0.82,0,1,9.9,0,1,0,60.3,0.0,8.1,0.0,0.0,0.0,0.065,1.287,0.51,1.286,0.5,0,204.502,230,7.6,200.282,0,0.0,,,,,0.081,0.022,3.24,57.7,18.6,73,484,258,115.6,0.751,0.34,1.0,0.183,0.0,0.282,0.918,0.414,1.0,0.999,0.908,1.0,0.0,0.586,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_113829_ours_B,2026-07-04 11:38:29,ours,B,reached,109.99,7.49,0.83,0,1,4.6,0,1,0,60.2,0.0,8.0,0.0,0.0,0.0,0.066,1.267,0.51,1.266,0.49,0,204.397,227,7.6,200.765,0,0.0,,,,,0.08,0.021,3.29,57.5,19.2,75,480,267,115.4,0.74,0.342,1.0,0.181,0.0,0.28,0.92,0.413,1.0,0.999,0.921,1.0,0.0,0.587,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_114032_ours_B,2026-07-04 11:40:32,ours,B,reached,111.85,7.63,0.82,0,1,4.2,0,1,0,61.1,0.0,8.0,0.0,0.0,0.0,0.068,1.305,0.51,1.305,0.49,0,213.737,246,7.82,208.238,0,0.0,,,,,0.082,0.023,3.21,57.6,18.8,74,517,277,115.7,0.758,0.338,1.0,0.178,0.0,0.272,0.917,0.42,1.0,0.999,0.919,1.0,0.0,0.58,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_114237_ours_B,2026-07-04 11:42:37,ours,B,reached,111.86,7.54,0.83,0,1,4.2,0,1,0,61.0,0.0,8.0,0.0,0.0,0.0,0.067,1.272,0.52,1.272,0.5,0,213.99,244,7.9,204.685,0,0.0,,,,,0.084,0.021,3.25,57.7,19.0,74,496,270,115.2,0.735,0.347,1.0,0.178,0.0,0.266,0.916,0.404,1.0,0.999,0.932,1.0,0.0,0.596,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_114442_ours_B,2026-07-04 11:44:42,ours,B,reached,109.03,7.5,0.83,0,1,10.4,0,1,0,60.5,0.0,8.2,0.0,0.0,0.0,0.067,1.255,0.51,1.254,0.5,0,212.321,239,7.87,204.73,0,0.0,,,,,0.083,0.022,3.25,57.6,19.6,78,497,273,115.3,0.732,0.341,1.0,0.183,0.0,0.299,0.917,0.403,1.0,0.999,0.911,1.0,0.0,0.597,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_114645_ours_B,2026-07-04 11:46:45,ours,B,reached,110.37,7.47,0.83,0,1,4.6,0,1,0,60.9,0.0,8.0,0.0,0.0,0.0,0.066,1.299,0.51,1.298,0.51,0,212.735,241,7.85,206.281,0,0.0,,,,,0.079,0.023,3.35,57.3,19.2,80,517,291,115.7,0.754,0.341,1.0,0.181,0.0,0.27,0.92,0.41,1.0,0.999,0.911,1.0,0.0,0.59,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_114848_ours_B,2026-07-04 11:48:48,ours,B,reached,112.27,7.56,0.82,0,1,10.4,0,1,0,61.3,0.0,7.9,0.0,0.0,0.0,0.068,1.276,0.49,1.277,0.48,0,212.194,245,7.78,202.439,0,0.0,,,,,0.08,0.023,3.25,57.5,19.1,77,511,283,115.6,0.738,0.329,1.0,0.178,0.0,0.27,0.92,0.41,1.0,0.999,0.915,1.0,0.0,0.59,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_115053_ours_B,2026-07-04 11:50:53,ours,B,reached,111.86,7.53,0.83,0,1,3.8,0,1,0,61.5,0.0,7.9,0.0,0.0,0.0,0.069,1.293,0.52,1.295,0.51,0,208.457,244,7.73,202.051,0,0.0,,,,,0.082,0.023,3.16,57.9,18.4,76,490,264,115.1,0.74,0.344,1.0,0.178,0.0,0.278,0.917,0.412,1.0,0.999,0.917,1.0,0.0,0.588,0.146,2.5,2.5,0,0,,,,100,100,0,100
20260704_115258_ours_B,2026-07-04 11:52:58,ours,B,reached,109.56,7.51,0.83,0,1,4.5,0,1,0,60.0,0.0,7.9,0.0,0.0,0.0,0.066,1.244,0.51,1.25,0.5,0,208.437,237,7.76,201.243,0,0.0,,,,,0.08,0.021,3.21,57.7,19.2,79,485,265,115.5,0.727,0.341,1.0,0.182,0.0,0.287,0.919,0.408,1.0,0.999,0.906,1.0,0.0,0.592,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_115501_ours_B,2026-07-04 11:55:01,ours,B,reached,112.73,7.69,0.81,0,1,4.1,0,1,0,61.2,0.0,7.9,0.0,0.0,0.0,0.071,1.299,0.5,1.298,0.49,0,206.837,245,7.53,203.881,0,0.0,,,,,0.081,0.021,3.25,57.6,18.1,77,506,283,115.4,0.746,0.334,1.0,0.177,0.0,0.268,0.917,0.405,1.0,0.999,0.907,1.0,0.0,0.595,0.145,2.5,2.5,0,0,,,,100,100,0,100
20260704_115706_ours_B,2026-07-04 11:57:06,ours,B,reached,112.45,7.68,0.81,0,1,4.2,0,1,0,61.6,0.0,7.7,0.0,0.0,0.0,0.071,1.29,0.52,1.297,0.51,0,209.122,243,7.67,201.962,0,0.0,,,,,0.079,0.021,3.33,57.4,17.8,73,495,265,115.1,0.74,0.344,1.0,0.178,0.0,0.266,0.92,0.412,1.0,0.999,0.91,1.0,0.0,0.588,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_115911_ours_B,2026-07-04 11:59:11,ours,B,reached,111.56,7.64,0.82,0,1,3.5,0,1,0,61.3,0.0,7.7,0.0,0.0,0.0,0.069,1.298,0.52,1.297,0.5,0,202.52,242,7.51,200.675,0,0.0,,,,,0.083,0.022,3.29,57.5,17.7,74,467,238,115.3,0.741,0.346,1.0,0.178,0.0,0.282,0.916,0.41,1.0,0.999,0.917,1.0,0.0,0.59,0.145,2.5,2.5,0,0,,,,100,100,0,100
20260704_120116_ours_B,2026-07-04 12:01:16,ours,B,reached,113.82,7.73,0.81,0,1,4.1,0,1,0,62.0,0.0,7.8,0.0,0.0,0.0,0.07,1.311,0.53,1.31,0.51,0,211.309,243,7.77,204.317,0,0.0,,,,,0.08,0.019,3.21,57.8,18.3,73,501,275,115.2,0.754,0.351,1.0,0.175,0.0,0.273,0.919,0.416,1.0,0.999,0.927,1.0,0.0,0.584,0.146,2.5,2.5,0,0,,,,100,100,0,100
20260704_120323_ours_B,2026-07-04 12:03:23,ours,B,reached,106.94,7.48,0.83,0,1,3.7,0,1,0,62.4,0.0,5.5,0.0,0.0,0.0,0.072,1.359,0.52,1.36,0.51,0,206.935,241,7.61,202.74,0,0.0,,,,,0.083,0.019,3.43,57.1,14.4,71,482,251,115.5,0.781,0.349,1.0,0.184,0.0,0.288,0.917,0.383,1.0,0.999,0.934,1.0,0.0,0.617,0.147,2.5,2.5,0,0,,,,100,100,0,100
20260704_120522_ours_B,2026-07-04 12:05:22,ours,B,reached,112.75,7.52,0.83,0,1,3.7,0,1,0,61.6,0.0,7.9,0.0,0.0,0.0,0.07,1.309,0.49,1.309,0.47,0,207.742,236,7.65,205.942,0,0.0,,,,,0.08,0.02,3.29,57.5,17.8,78,491,272,115.6,0.753,0.325,1.0,0.176,0.0,0.27,0.919,0.412,1.0,0.999,0.904,1.0,0.0,0.588,0.144,2.5,2.5,0,0,,,,100,100,0,100
20260704_120727_ours_B,2026-07-04 12:07:27,ours,B,reached,104.12,7.64,0.82,0,1,3.9,0,1,0,61.7,0.0,8.4,0.0,0.0,0.0,0.068,1.309,0.5,1.31,0.49,0,208.964,242,7.71,205.387,0,0.0,,,,,0.089,0.026,3.33,58.6,19.2,76,485,253,112.8,0.743,0.335,1.0,0.192,0.0,0.29,0.909,0.413,1.0,0.999,0.909,1.0,0.0,0.587,0.146,2.5,2.5,0,0,,,,100,100,0,100
20260704_120924_ours_B,2026-07-04 12:09:24,ours,B,reached,75.66,7.65,0.81,0,1,3.6,0,1,0,51.5,0.0,7.6,0.0,0.0,0.0,0.067,1.219,0.51,1.23,0.48,0,214.986,254,7.83,211.777,0,0.0,,,,,0.108,0.03,3.53,58.6,20.8,69,469,215,110.4,0.716,0.338,1.0,0.26,0.0,0.473,0.89,0.43,1.0,0.998,0.898,1.0,0.0,0.57,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_121053_ours_B,2026-07-04 12:10:53,ours,B,reached,100.41,7.74,0.81,0,1,10.4,0,1,0,60.9,0.0,8.6,0.0,0.0,0.0,0.066,1.287,0.49,1.287,0.47,0,215.302,246,7.88,211.163,0,0.0,,,,,0.089,0.028,3.26,58.8,20.0,76,482,244,110.5,0.752,0.325,1.0,0.199,0.0,0.295,0.911,0.425,1.0,0.999,0.901,1.0,0.0,0.575,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_121245_ours_B,2026-07-04 12:12:45,ours,B,reached,90.08,7.69,0.81,0,1,9.8,0,1,0,51.1,0.0,9.8,0.0,0.0,0.0,0.069,1.186,0.52,1.188,0.48,0,222.723,255,8.1,211.54,0,0.0,,,,,0.101,0.028,3.25,58.3,22.7,72,502,276,114.4,0.703,0.345,1.0,0.221,0.0,0.404,0.899,0.482,1.0,0.999,0.925,1.0,0.0,0.518,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_121428_ours_B,2026-07-04 12:14:28,ours,B,aborted_meta2_help,235.77,7.94,,3,1,134.8,0,1,0,58.1,0.0,24.5,0.0,2.4,0.0,0.073,0.946,0.23,0.955,0.23,217,175.11,231,6.36,165.833,8,0.0,,,,,0.141,0.037,3.33,60.6,47.0,103,617,493,114.3,0.581,0.151,1.0,0.086,0.0,0.26,0.842,0.307,1.0,0.996,0.892,1.0,0.0,0.693,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_121838_ours_B,2026-07-04 12:18:38,ours,B,reached,89.83,7.5,0.83,0,1,3.1,0,1,0,51.5,0.0,9.5,0.0,0.0,0.0,0.064,1.267,0.51,1.267,0.5,0,223.792,264,8.23,215.132,0,0.0,,,,,0.092,0.024,3.32,57.8,20.9,74,493,247,114.7,0.749,0.341,1.0,0.222,0.0,0.397,0.907,0.363,1.0,0.999,0.929,1.0,0.0,0.637,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_122021_ours_B,2026-07-04 12:20:21,ours,B,reached,113.86,7.57,0.82,0,1,4.3,0,1,0,60.8,0.0,7.7,0.0,0.0,0.0,0.067,1.273,0.54,1.272,0.5,0,210.958,239,7.77,200.126,0,0.0,,,,,0.077,0.024,3.25,57.5,18.4,73,500,280,114.9,0.739,0.357,1.0,0.174,0.0,0.266,0.923,0.41,1.0,0.999,0.916,1.0,0.0,0.59,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_122228_ours_B,2026-07-04 12:22:28,ours,B,reached,89.75,7.62,0.82,0,1,3.5,0,1,0,50.8,0.0,9.9,0.0,0.0,0.0,0.066,1.196,0.52,1.203,0.5,0,221.86,260,8.18,211.361,0,0.0,,,,,0.092,0.026,3.34,57.8,22.3,70,494,254,114.8,0.705,0.348,1.0,0.222,0.0,0.39,0.908,0.421,1.0,0.999,0.897,1.0,0.0,0.579,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_122411_ours_B,2026-07-04 12:24:11,ours,B,reached,116.01,7.55,0.82,0,1,4.4,0,1,0,61.4,0.0,7.6,0.0,0.0,0.0,0.069,1.274,0.51,1.274,0.49,0,212.221,245,7.79,204.277,0,0.0,,,,,0.083,0.021,3.23,57.6,18.5,77,523,298,114.8,0.737,0.34,1.0,0.172,0.0,0.265,0.916,0.402,1.0,0.999,0.929,1.0,0.0,0.598,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_122620_ours_B,2026-07-04 12:26:20,ours,B,reached,92.27,7.71,0.81,0,1,9.8,0,1,0,51.6,0.0,9.6,0.0,0.0,0.0,0.064,1.201,0.52,1.202,0.5,0,221.408,260,8.07,213.122,0,0.0,,,,,0.096,0.026,3.31,58.0,22.7,74,479,236,114.5,0.706,0.346,1.0,0.215,0.0,0.429,0.904,0.481,1.0,0.999,0.917,1.0,0.0,0.519,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_122805_ours_B,2026-07-04 12:28:05,ours,B,reached,115.85,7.5,0.83,0,1,9.9,0,1,0,61.3,0.0,7.7,0.0,0.0,0.0,0.07,1.297,0.51,1.299,0.5,0,211.215,244,7.75,204.304,0,0.0,,,,,0.08,0.02,3.25,57.6,18.6,77,506,275,114.8,0.752,0.343,1.0,0.172,0.0,0.267,0.919,0.407,1.0,0.999,0.908,1.0,0.0,0.593,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_123014_ours_B,2026-07-04 12:30:14,ours,B,reached,90.78,7.6,0.82,0,1,3.6,0,1,0,50.8,0.0,9.8,0.0,0.0,0.0,0.065,1.212,0.51,1.223,0.51,0,229.979,274,8.34,218.988,0,0.0,,,,,0.096,0.028,3.3,58.0,22.3,73,523,274,115.0,0.715,0.341,1.0,0.219,0.0,0.425,0.902,0.406,1.0,0.998,0.897,1.0,0.0,0.594,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_123157_ours_B,2026-07-04 12:31:57,ours,B,aborted_meta2_help,237.42,8.3,,3,1,133.3,0,1,0,57.7,0.0,25.0,0.0,2.4,0.0,0.063,0.909,0.21,0.91,0.21,74,183.331,239,6.77,173.106,11,0.0,,,,,0.083,0.033,3.2,61.1,46.1,113,620,498,114.5,0.553,0.14,1.0,0.084,0.0,0.281,0.915,0.382,1.0,0.996,0.928,1.0,0.0,0.618,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_123933_ours_B,2026-07-04 12:39:33,ours,B,reached,100.97,7.77,0.8,0,1,10.2,0,1,0,60.9,0.0,8.6,0.0,0.0,0.0,0.066,1.261,0.51,1.261,0.48,0,213.373,242,7.75,210.499,0,0.0,,,,,0.092,0.026,3.24,58.9,19.8,81,484,253,110.5,0.738,0.34,1.0,0.198,0.0,0.294,0.908,0.417,1.0,0.999,0.92,1.0,0.0,0.583,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_124127_ours_B,2026-07-04 12:41:27,ours,B,reached,113.83,7.57,0.82,0,1,10.5,0,1,0,61.1,0.0,7.8,0.0,0.0,0.0,0.069,1.277,0.49,1.277,0.47,0,208.37,237,7.6,205.217,0,0.0,,,,,0.08,0.02,3.32,57.5,19.0,75,500,274,114.9,0.749,0.329,1.0,0.175,0.0,0.274,0.92,0.403,1.0,0.999,0.919,1.0,0.0,0.597,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_124335_ours_B,2026-07-04 12:43:35,ours,B,reached,114.89,7.67,0.81,0,1,4.4,0,1,0,61.5,0.0,7.7,0.0,0.0,0.0,0.073,1.277,0.53,1.278,0.51,0,199.554,229,7.27,196.56,0,0.0,,,,,0.078,0.02,3.25,57.6,18.9,72,472,252,114.9,0.739,0.351,1.0,0.173,0.0,0.269,0.92,0.41,1.0,0.999,0.917,1.0,0.0,0.59,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_124542_ours_B,2026-07-04 12:45:42,ours,B,reached,111.43,7.55,0.82,0,1,4.3,0,1,0,61.6,0.0,7.9,0.0,0.0,0.0,0.069,1.303,0.51,1.303,0.5,0,207.616,240,7.61,199.513,0,0.0,,,,,0.084,0.023,3.2,58.2,19.3,75,485,258,115.1,0.752,0.343,1.0,0.179,0.0,0.291,0.915,0.426,1.0,0.999,0.932,1.0,0.0,0.574,0.149,2.5,2.5,0,0,,,,100,100,0,100
20260704_124746_ours_B,2026-07-04 12:47:46,ours,B,reached,101.08,7.76,0.8,0,1,10.2,0,1,0,60.8,0.0,8.6,0.0,0.0,0.0,0.066,1.258,0.51,1.258,0.47,0,216.063,252,7.88,213.511,0,0.0,,,,,0.094,0.03,3.24,58.7,20.4,78,505,253,110.9,0.735,0.338,1.0,0.198,0.0,0.292,0.906,0.412,1.0,0.999,0.911,1.0,0.0,0.588,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_124941_ours_B,2026-07-04 12:49:41,ours,B,reached,100.56,7.72,0.81,0,1,4.5,0,1,0,61.0,0.0,8.7,0.0,0.0,0.0,0.065,1.253,0.5,1.253,0.48,0,216.355,252,7.88,207.942,0,0.0,,,,,0.095,0.025,3.29,58.6,19.9,78,502,257,110.9,0.734,0.335,1.0,0.198,0.0,0.292,0.906,0.422,1.0,0.999,0.913,1.0,0.0,0.578,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_125134_ours_B,2026-07-04 12:51:34,ours,B,reached,111.42,7.48,0.83,0,1,4.4,0,1,0,59.8,0.0,7.9,0.0,0.0,0.0,0.066,1.244,0.52,1.25,0.51,0,213.399,241,7.9,207.668,0,0.0,,,,,0.081,0.023,3.21,58.0,18.8,76,512,279,114.5,0.73,0.35,1.0,0.179,0.0,0.289,0.918,0.406,1.0,0.999,0.919,1.0,0.0,0.594,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_125339_ours_B,2026-07-04 12:53:39,ours,B,reached,113.07,7.6,0.82,0,1,10.2,0,1,0,60.3,0.0,7.7,0.0,0.0,0.0,0.066,1.274,0.53,1.273,0.51,0,213.837,252,7.89,206.373,0,0.0,,,,,0.08,0.025,3.25,57.7,18.5,81,513,287,114.7,0.746,0.353,1.0,0.176,0.0,0.279,0.918,0.406,1.0,0.998,0.908,1.0,0.0,0.594,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_125555_ours_B,2026-07-04 12:55:55,ours,B,reached,112.42,7.68,0.81,0,1,10.0,0,1,0,60.7,0.0,7.8,0.0,0.0,0.0,0.068,1.284,0.52,1.284,0.51,0,208.943,243,7.64,203.512,0,0.0,,,,,0.081,0.026,3.24,58.1,19.2,75,493,261,114.5,0.742,0.349,1.0,0.177,0.0,0.282,0.918,0.409,1.0,0.999,0.915,1.0,0.0,0.591,0.15,2.5,2.5,0,0,,,,100,100,0,100
20260704_125800_ours_B,2026-07-04 12:58:00,ours,B,reached,100.97,7.7,0.81,0,1,4.5,0,1,0,60.7,0.0,8.6,0.0,0.0,0.0,0.066,1.267,0.51,1.266,0.5,0,209.506,248,7.65,206.362,0,0.0,,,,,0.088,0.023,3.34,58.5,20.0,72,465,230,110.8,0.739,0.338,1.0,0.198,0.0,0.293,0.912,0.424,1.0,1.0,0.93,1.0,0.0,0.576,0.15,2.5,2.5,0,0,,,,100,100,0,100
